,Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change,Daily Volume MWh,Number of Trades,Number of Companies,date_x,DNI,Temperature,DHI,Pressure,Relative Humidity,Wind Speed,date_y,Date_x,Date_y,Open,High,Low,Close,Adj Close,Volume
54,PJM West,2001-03-20,2001-03-21,2001-03-21,50.0,46.0,47.69,-0.3400000000000034,7200,8,7,2001-03-20,68981.71366698749,1296.9446583253132,25127.31472569779,332829.542829644,26204.04790182868,758.6997112608278,2001-03-20,2001-03-20,2001-03-20,1170.810059,1180.560059,1142.189941,1142.619995,1142.619995,1235900000.0
55,PJM West,2001-03-21,2001-03-22,2001-03-22,41.5,40.5,41.0,-6.689999999999998,4000,5,7,2001-03-21,28811.747353224255,1642.250721847931,20008.587584215595,328881.47738209803,30056.093214629458,1230.227045235804,2001-03-21,2001-03-21,2001-03-21,1142.619995,1149.390015,1118.73999,1122.140015,1122.140015,1346300000.0
56,PJM West,2001-03-22,2001-03-23,2001-03-23,44.75,44.0,44.25,3.25,5600,7,8,2001-03-22,45583.60250240616,1556.3383060635224,23696.59865255053,326754.9855630413,28142.066655437924,1008.0106833493746,2001-03-22,2001-03-22,2001-03-22,1122.140015,1124.27002,1081.189941,1117.579956,1117.579956,1723950000.0
57,PJM West,2001-03-23,2001-03-26,2001-03-26,54.25,51.0,52.54,8.29,9600,11,7,2001-03-23,96528.25360923965,1711.468719923003,20588.33734359961,328111.4533205007,24989.511116458147,1191.9070259865255,2001-03-23,2001-03-23,2001-03-23,1117.579956,1141.829956,1117.579956,1139.829956,1139.829956,1364900000.0
58,PJM West,2001-03-26,2001-03-27,2001-03-27,54.5,52.5,53.46,0.9200000000000017,5600,7,6,2001-03-26,80375.67324350338,-378.8282001924928,25193.593358999038,330731.61212704517,21639.976539942258,804.7728103946104,2001-03-26,2001-03-26,2001-03-26,1139.829956,1160.02002,1139.829956,1152.689941,1152.689941,1114000000.0
59,PJM West,2001-03-27,2001-03-28,2001-03-28,49.0,48.0,48.44,-5.020000000000003,12800,13,11,2001-03-27,96331.08950914342,-224.88883541867182,22570.238209817137,332393.20500481204,21596.067728585185,702.8416265640038,2001-03-27,2001-03-27,2001-03-27,1152.689941,1183.349976,1150.959961,1182.170044,1182.170044,1314200000.0
60,PJM West,2001-03-28,2001-03-29,2001-03-29,44.75,43.5,44.09,-4.349999999999994,8800,10,10,2001-03-28,100077.48508180943,623.8820981713185,21944.09817131858,332035.33205004793,23767.83644850818,660.9550048123198,2001-03-28,2001-03-28,2001-03-28,1182.170044,1182.170044,1147.829956,1153.290039,1153.290039,1333400000.0
61,PJM West,2001-03-29,2001-03-30,2001-03-30,41.25,40.6,40.99,-3.1000000000000014,6400,8,6,2001-03-29,11365.413859480275,1257.3002887391726,30615.363811357067,331011.5784408085,29967.589422521658,672.8184793070259,2001-03-29,2001-03-29,2001-03-29,1153.290039,1161.689941,1136.26001,1147.949951,1147.949951,1234500000.0
62,PJM West,2001-03-30,2001-04-02,2001-04-02,49.0,46.5,47.07,6.079999999999998,5600,7,8,2001-03-30,25931.64292589028,1893.31761308951,25917.666506256024,327388.801732435,30358.00988450434,966.9589990375365,2001-03-30,2001-03-30,2001-03-30,1147.949951,1162.800049,1143.829956,1160.329956,1160.329956,1280800000.0
63,PJM West,2001-04-02,2001-04-03,2001-04-03,49.0,45.25,46.0,-1.0700000000000003,8800,10,9,2001-04-02,51099.532723772856,1704.3623676612124,27425.49951876804,329285.293551492,26616.491453320494,523.0090471607315,2001-04-02,2001-04-02,2001-04-02,1160.329956,1169.51001,1137.51001,1145.869995,1145.869995,1254900000.0
